"","season","week","home_team","away_team","spread_line"
"1",2022,1,"LA","BUF",1
"2",2022,1,"ATL","NO",-4
"3",2022,1,"CAR","CLE",NA
"4",2022,1,"CHI","SF",-6.5
"5",2022,1,"CIN","PIT",6.5
"6",2022,1,"DET","PHI",-4
"7",2022,1,"HOU","IND",-7.5
"8",2022,1,"MIA","NE",3
"9",2022,1,"NYJ","BAL",-4.5
"10",2022,1,"WAS","JAX",4
"11",2022,1,"ARI","KC",-3
"12",2022,1,"LAC","LV",4
"13",2022,1,"MIN","GB",-1.5
"14",2022,1,"TEN","NYG",6.5
"15",2022,1,"DAL","TB",-2.5
"16",2022,1,"SEA","DEN",-4
"17",2022,2,"KC","LAC",3
"18",2022,2,"BAL","MIA",4
"19",2022,2,"CLE","NYJ",NA
"20",2022,2,"DET","WAS",-1.5
"21",2022,2,"JAX","IND",-4.5
"22",2022,2,"NO","TB",-4
"23",2022,2,"NYG","CAR",1
"24",2022,2,"PIT","NE",-1
"25",2022,2,"LA","ATL",13
"26",2022,2,"SF","SEA",8
"27",2022,2,"DAL","CIN",1.5
"28",2022,2,"DEN","HOU",10.5
"29",2022,2,"LV","ARI",2.5
"30",2022,2,"GB","CHI",9.5
"31",2022,2,"BUF","TEN",7
"32",2022,2,"PHI","MIN",2.5
"33",2022,3,"CLE","PIT",NA
"34",2022,3,"CAR","NO",-2
"35",2022,3,"CHI","HOU",3
"36",2022,3,"IND","KC",-2.5
"37",2022,3,"MIA","BUF",-3.5
"38",2022,3,"MIN","DET",6.5
"39",2022,3,"NE","BAL",0
"40",2022,3,"NYJ","CIN",-5
"41",2022,3,"TEN","LV",1
"42",2022,3,"WAS","PHI",0
"43",2022,3,"LAC","JAX",10
"44",2022,3,"ARI","LA",-2
"45",2022,3,"SEA","ATL",3.5
"46",2022,3,"TB","GB",3.5
"47",2022,3,"DEN","SF",2.5
"48",2022,3,"NYG","DAL",-4
"49",2022,4,"CIN","MIA",4
"50",2022,4,"NO","MIN",-1
"51",2022,4,"ATL","CLE",NA
"52",2022,4,"BAL","BUF",-1
"53",2022,4,"DAL","WAS",6
"54",2022,4,"DET","SEA",1
"55",2022,4,"HOU","LAC",-8
"56",2022,4,"IND","TEN",3
"57",2022,4,"NYG","CHI",2.5
"58",2022,4,"PHI","JAX",6.5
"59",2022,4,"PIT","NYJ",3.5
"60",2022,4,"CAR","ARI",-3
"61",2022,4,"GB","NE",5
"62",2022,4,"LV","DEN",0
"63",2022,4,"TB","KC",2.5
"64",2022,4,"SF","LA",-1
"65",2022,5,"DEN","IND",3
"66",2022,5,"GB","NYG",7
"67",2022,5,"BUF","PIT",9.5
"68",2022,5,"CLE","LAC",NA
"69",2022,5,"JAX","HOU",3.5
"70",2022,5,"MIN","CHI",6
"71",2022,5,"NE","DET",6.5
"72",2022,5,"NO","SEA",6
"73",2022,5,"NYJ","MIA",-2.5
"74",2022,5,"TB","ATL",10.5
"75",2022,5,"WAS","TEN",0
"76",2022,5,"CAR","SF",-4
"77",2022,5,"ARI","PHI",2
"78",2022,5,"LA","DAL",4.5
"79",2022,5,"BAL","CIN",1
"80",2022,5,"KC","LV",6
"81",2022,6,"CHI","WAS",-1.5
"82",2022,6,"ATL","SF",-6.5
"83",2022,6,"CLE","NE",NA
"84",2022,6,"GB","NYJ",9.5
"85",2022,6,"IND","JAX",7
"86",2022,6,"MIA","MIN",3
"87",2022,6,"NO","CIN",-1
"88",2022,6,"NYG","BAL",-3.5
"89",2022,6,"PIT","TB",-5.5
"90",2022,6,"LA","CAR",9
"91",2022,6,"SEA","ARI",-2.5
"92",2022,6,"KC","BUF",-1.5
"93",2022,6,"PHI","DAL",0
"94",2022,6,"LAC","DEN",3
"95",2022,7,"ARI","NO",3
"96",2022,7,"BAL","CLE",NA
"97",2022,7,"CAR","TB",-7
"98",2022,7,"CIN","ATL",10
"99",2022,7,"DAL","DET",7
"100",2022,7,"JAX","NYG",1.5
"101",2022,7,"TEN","IND",0
"102",2022,7,"WAS","GB",-3.5
"103",2022,7,"DEN","NYJ",7.5
"104",2022,7,"LV","HOU",8
"105",2022,7,"LAC","SEA",8.5
"106",2022,7,"SF","KC",-1
"107",2022,7,"MIA","PIT",4.5
"108",2022,7,"NE","CHI",6
"109",2022,8,"TB","BAL",3.5
"110",2022,8,"JAX","DEN",-6.5
"111",2022,8,"ATL","CAR",0
"112",2022,8,"DAL","CHI",7
"113",2022,8,"DET","MIA",-3
"114",2022,8,"MIN","ARI",1
"115",2022,8,"NO","LV",0
"116",2022,8,"NYJ","NE",-2.5
"117",2022,8,"PHI","PIT",3.5
"118",2022,8,"HOU","TEN",-5.5
"119",2022,8,"IND","WAS",5
"120",2022,8,"LA","SF",4.5
"121",2022,8,"SEA","NYG",2.5
"122",2022,8,"BUF","GB",4
"123",2022,8,"CLE","CIN",NA
"124",2022,9,"HOU","PHI",-5.5
"125",2022,9,"ATL","LAC",-6.5
"126",2022,9,"CHI","MIA",-3
"127",2022,9,"CIN","CAR",8.5
"128",2022,9,"DET","GB",-6
"129",2022,9,"JAX","LV",-1
"130",2022,9,"NE","IND",0
"131",2022,9,"NYJ","BUF",-7
"132",2022,9,"WAS","MIN",0
"133",2022,9,"ARI","SEA",6.5
"134",2022,9,"TB","LA",1.5
"135",2022,9,"KC","TEN",6
"136",2022,9,"NO","BAL",-1
"137",2022,10,"CAR","ATL",3
"138",2022,10,"TB","SEA",9.5
"139",2022,10,"BUF","MIN",7.5
"140",2022,10,"CHI","DET",1.5
"141",2022,10,"KC","JAX",10
"142",2022,10,"MIA","CLE",NA
"143",2022,10,"NYG","HOU",3
"144",2022,10,"PIT","NO",1.5
"145",2022,10,"TEN","DEN",0
"146",2022,10,"LV","IND",2
"147",2022,10,"GB","DAL",4
"148",2022,10,"LA","ARI",6
"149",2022,10,"SF","LAC",0
"150",2022,10,"PHI","WAS",3.5
"151",2022,11,"GB","TEN",4.5
"152",2022,11,"ATL","CHI",0
"153",2022,11,"BAL","CAR",7
"154",2022,11,"BUF","CLE",NA
"155",2022,11,"HOU","WAS",-3
"156",2022,11,"IND","PHI",3
"157",2022,11,"NE","NYJ",6
"158",2022,11,"NO","LA",-3
"159",2022,11,"NYG","DET",1.5
"160",2022,11,"DEN","LV",3
"161",2022,11,"LAC","KC",1.5
"162",2022,11,"MIN","DAL",0
"163",2022,11,"PIT","CIN",-2.5
"164",2022,11,"ARI","SF",-2.5
"165",2022,12,"DET","BUF",-8
"166",2022,12,"DAL","NYG",7
"167",2022,12,"MIN","NE",1.5
"168",2022,12,"CAR","DEN",-4
"169",2022,12,"CLE","TB",NA
"170",2022,12,"JAX","BAL",-4
"171",2022,12,"MIA","HOU",7
"172",2022,12,"NYJ","CHI",2.5
"173",2022,12,"TEN","CIN",0
"174",2022,12,"WAS","ATL",5
"175",2022,12,"ARI","LAC",-1.5
"176",2022,12,"SEA","LV",-2
"177",2022,12,"KC","LA",2.5
