"","game_id","game_type","week","home_team","away_team","home_score","away_score","result","spread_line","home_win","away_win","tie"
"1","1999_01_MIN_ATL","REG",1,"ATL","MIN",14,17,3,4,0,1,0
"2","1999_01_KC_CHI","REG",1,"CHI","KC",20,17,-3,3,1,0,0
"3","1999_01_PIT_CLE","REG",1,"CLE","PIT",0,43,43,6,0,1,0
"4","1999_01_OAK_GB","REG",1,"GB","OAK",28,24,-4,-9,1,0,0
"5","1999_01_BUF_IND","REG",1,"IND","BUF",31,14,-17,3,1,0,0
"6","1999_01_SF_JAX","REG",1,"JAX","SF",41,3,-38,-5.5,1,0,0
"7","1999_01_CAR_NO","REG",1,"NO","CAR",19,10,-9,-3.5,1,0,0
"8","1999_01_NE_NYJ","REG",1,"NYJ","NE",28,30,2,-7,0,1,0
"9","1999_01_ARI_PHI","REG",1,"PHI","ARI",24,25,1,3,0,1,0
"10","1999_01_DET_SEA","REG",1,"SEA","DET",20,28,8,-9.5,0,1,0
"11","1999_01_BAL_STL","REG",1,"STL","BAL",27,10,-17,0,1,0,0
"12","1999_01_NYG_TB","REG",1,"TB","NYG",13,17,4,-5.5,0,1,0
"13","1999_01_CIN_TEN","REG",1,"TEN","CIN",36,35,-1,-9,1,0,0
"14","1999_01_DAL_WAS","REG",1,"WAS","DAL",35,41,6,-2.5,0,1,0
"15","1999_01_MIA_DEN","REG",1,"DEN","MIA",21,38,17,-6,0,1,0
"16","1999_02_PIT_BAL","REG",2,"BAL","PIT",20,23,3,2.5,0,1,0
"17","1999_02_NYJ_BUF","REG",2,"BUF","NYJ",17,3,-14,-4,1,0,0
"18","1999_02_JAX_CAR","REG",2,"CAR","JAX",20,22,2,9.5,0,1,0
"19","1999_02_SEA_CHI","REG",2,"CHI","SEA",13,14,1,3.5,0,1,0
"20","1999_02_SD_CIN","REG",2,"CIN","SD",7,34,27,-1,0,1,0
"21","1999_02_GB_DET","REG",2,"DET","GB",23,15,-8,6.5,1,0,0
"22","1999_02_DEN_KC","REG",2,"KC","DEN",26,10,-16,3.5,1,0,0
"23","1999_02_ARI_MIA","REG",2,"MIA","ARI",19,16,-3,-9,1,0,0
"24","1999_02_OAK_MIN","REG",2,"MIN","OAK",17,22,5,-11,0,1,0
"25","1999_02_IND_NE","REG",2,"NE","IND",31,28,-3,-4.5,1,0,0
"26","1999_02_WAS_NYG","REG",2,"NYG","WAS",21,50,29,-2.5,0,1,0
"27","1999_02_TB_PHI","REG",2,"PHI","TB",5,19,14,6.5,0,1,0
"28","1999_02_NO_SF","REG",2,"SF","NO",28,21,-7,-11,1,0,0
"29","1999_02_CLE_TEN","REG",2,"TEN","CLE",26,9,-17,-16,1,0,0
"30","1999_02_ATL_DAL","REG",2,"DAL","ATL",24,7,-17,-6.5,1,0,0
"31","1999_03_CLE_BAL","REG",3,"BAL","CLE",17,10,-7,-12,1,0,0
"32","1999_03_PHI_BUF","REG",3,"BUF","PHI",26,0,-26,-11.5,1,0,0
"33","1999_03_CIN_CAR","REG",3,"CAR","CIN",27,3,-24,-7,1,0,0
"34","1999_03_MIN_GB","REG",3,"GB","MIN",23,20,-3,0,1,0,0
"35","1999_03_TEN_JAX","REG",3,"JAX","TEN",19,20,1,-9.5,0,1,0
"36","1999_03_DET_KC","REG",3,"KC","DET",31,21,-10,-3.5,1,0,0
"37","1999_03_NYG_NE","REG",3,"NE","NYG",16,14,-2,-6,1,0,0
"38","1999_03_WAS_NYJ","REG",3,"NYJ","WAS",20,27,7,1,0,1,0
"39","1999_03_CHI_OAK","REG",3,"OAK","CHI",24,17,-7,-7,1,0,0
"40","1999_03_SEA_PIT","REG",3,"PIT","SEA",10,29,19,-4,0,1,0
"41","1999_03_IND_SD","REG",3,"SD","IND",19,27,8,1,0,1,0
"42","1999_03_ATL_STL","REG",3,"STL","ATL",35,7,-28,1.5,1,0,0
"43","1999_03_DEN_TB","REG",3,"TB","DEN",13,10,-3,-2.5,1,0,0
"44","1999_03_SF_ARI","REG",3,"ARI","SF",10,24,14,2.5,0,1,0
